기간	자치구	구분	합계	사고유형별	사고유형별	사고유형별
기간	자치구	구분	합계	차대사람	차대차	차량단독
2018	합계	발생건수	38,795	9,978	27,522	1,295
2018	합계	사망자수	304	182	96	26
2018	합계	부상자수	53,751	10,402	41,889	1,460
2018	종로구	발생건수	1,134	336	757	41
2018	종로구	사망자수	6	4	2	-
2018	종로구	부상자수	1,546	343	1,159	44
2018	중구	발생건수	1,128	291	796	41
2018	중구	사망자수	9	4	5	-
2018	중구	부상자수	1,506	304	1,158	44
2018	용산구	발생건수	1,330	295	990	45
2018	용산구	사망자수	14	8	3	3
2018	용산구	부상자수	1,852	307	1,496	49
2018	성동구	발생건수	1,143	271	819	53
2018	성동구	사망자수	9	5	2	2
2018	성동구	부상자수	1,561	280	1,227	54
2018	광진구	발생건수	1,108	266	810	32
2018	광진구	사망자수	10	6	3	1
2018	광진구	부상자수	1,474	286	1,154	34
2018	동대문구	발생건수	1,699	492	1,153	54
2018	동대문구	사망자수	14	9	5	-
2018	동대문구	부상자수	2,160	504	1,598	58
2018	중랑구	발생건수	1,565	432	1,075	58
2018	중랑구	사망자수	10	8	2	-
2018	중랑구	부상자수	2,135	452	1,619	64
2018	성북구	발생건수	1,427	390	975	62
2018	성북구	사망자수	14	9	3	2
2018	성북구	부상자수	1,980	403	1,503	74
2018	강북구	발생건수	1,216	396	778	42
2018	강북구	사망자수	13	9	2	2
2018	강북구	부상자수	1,633	408	1,182	43
2018	도봉구	발생건수	824	282	504	38
2018	도봉구	사망자수	6	5	1	-
2018	도봉구	부상자수	1,061	291	729	41
2018	노원구	발생건수	1,569	383	1,138	48
2018	노원구	사망자수	14	9	3	2
2018	노원구	부상자수	2,227	402	1,771	54
2018	은평구	발생건수	1,134	367	721	46
2018	은평구	사망자수	12	7	4	1
2018	은평구	부상자수	1,580	373	1,147	60
2018	서대문구	발생건수	1,033	325	659	49
2018	서대문구	사망자수	5	4	1	-
2018	서대문구	부상자수	1,403	344	998	61
2018	마포구	발생건수	1,671	397	1,220	54
2018	마포구	사망자수	11	4	4	3
2018	마포구	부상자수	2,429	416	1,958	55
2018	양천구	발생건수	1,428	366	1,015	47
2018	양천구	사망자수	11	5	4	2
2018	양천구	부상자수	1,939	383	1,508	48
2018	강서구	발생건수	1,502	387	1,052	63
2018	강서구	사망자수	11	5	6	-
2018	강서구	부상자수	2,208	413	1,713	82
2018	구로구	발생건수	1,532	376	1,089	67
2018	구로구	사망자수	13	10	1	2
2018	구로구	부상자수	2,129	390	1,661	78
2018	금천구	발생건수	932	266	629	37
2018	금천구	사망자수	6	5	-	1
2018	금천구	부상자수	1,326	286	999	41
2018	영등포구	발생건수	2,493	563	1,877	53
2018	영등포구	사망자수	22	12	9	1
2018	영등포구	부상자수	3,532	599	2,875	58
2018	동작구	발생건수	1,412	427	933	52
2018	동작구	사망자수	9	9	-	-
2018	동작구	부상자수	1,892	445	1,393	54
2018	관악구	발생건수	1,300	354	904	42
2018	관악구	사망자수	8	7	-	1
2018	관악구	부상자수	1,717	370	1,298	49
2018	서초구	발생건수	2,478	524	1,905	49
2018	서초구	사망자수	18	9	8	1
2018	서초구	부상자수	3,640	539	3,043	58
2018	강남구	발생건수	3,459	749	2,639	71
2018	강남구	사망자수	20	9	10	1
2018	강남구	부상자수	4,967	783	4,098	86
2018	송파구	발생건수	2,860	649	2,106	105
2018	송파구	사망자수	27	12	14	1
2018	송파구	부상자수	3,932	675	3,141	116
2018	강동구	발생건수	1,418	394	978	46
2018	강동구	사망자수	12	8	4	-
2018	강동구	부상자수	1,922	406	1,461	55
