기간	자치구	구분	합계	5년 미만	10년 미만	15년 미만	15년 이상	기타불명
2018	합계	발생건수	38,795	3,789	3,814	3,076	26,008	2,108
2018	합계	사망자수	304	14	20	20	237	13
2018	합계	부상자수	53,751	5,248	5,274	4,237	36,521	2,471
2018	종로구	발생건수	1,134	75	68	90	866	35
2018	종로구	사망자수	6	-	-	-	6	-
2018	종로구	부상자수	1,546	109	91	115	1,195	36
2018	중구	발생건수	1,128	83	86	78	823	58
2018	중구	사망자수	9	-	-	-	9	-
2018	중구	부상자수	1,506	111	114	116	1,102	63
2018	용산구	발생건수	1,330	128	140	116	860	86
2018	용산구	사망자수	14	-	3	2	7	2
2018	용산구	부상자수	1,852	170	200	165	1,209	108
2018	성동구	발생건수	1,143	134	146	102	692	69
2018	성동구	사망자수	9	-	1	1	6	1
2018	성동구	부상자수	1,561	197	198	127	963	76
2018	광진구	발생건수	1,108	122	138	115	659	74
2018	광진구	사망자수	10	2	-	3	5	-
2018	광진구	부상자수	1,474	158	188	165	879	84
2018	동대문구	발생건수	1,699	182	170	141	1,103	103
2018	동대문구	사망자수	14	1	-	1	12	-
2018	동대문구	부상자수	2,160	229	213	174	1,425	119
2018	중랑구	발생건수	1,565	136	146	109	1,085	89
2018	중랑구	사망자수	10	-	-	1	8	1
2018	중랑구	부상자수	2,135	177	191	156	1,511	100
2018	성북구	발생건수	1,427	116	116	85	1,048	62
2018	성북구	사망자수	14	-	1	-	12	1
2018	성북구	부상자수	1,980	133	158	107	1,498	84
2018	강북구	발생건수	1,216	106	101	80	846	83
2018	강북구	사망자수	13	2	-	-	10	1
2018	강북구	부상자수	1,633	172	125	114	1,124	98
2018	도봉구	발생건수	824	77	62	51	597	37
2018	도봉구	사망자수	6	-	-	-	6	-
2018	도봉구	부상자수	1,061	107	93	64	755	42
2018	노원구	발생건수	1,569	116	115	99	1,161	78
2018	노원구	사망자수	14	2	2	1	8	1
2018	노원구	부상자수	2,227	168	155	132	1,686	86
2018	은평구	발생건수	1,134	68	83	62	842	79
2018	은평구	사망자수	12	-	-	1	10	1
2018	은평구	부상자수	1,580	89	119	91	1,198	83
2018	서대문구	발생건수	1,033	99	100	72	720	42
2018	서대문구	사망자수	5	-	-	-	5	-
2018	서대문구	부상자수	1,403	123	130	105	997	48
2018	마포구	발생건수	1,671	159	171	137	1,101	103
2018	마포구	사망자수	11	-	1	1	9	-
2018	마포구	부상자수	2,429	225	257	195	1,620	132
2018	양천구	발생건수	1,428	107	109	92	1,036	84
2018	양천구	사망자수	11	-	1	1	9	-
2018	양천구	부상자수	1,939	123	148	122	1,451	95
2018	강서구	발생건수	1,502	142	135	132	1,017	76
2018	강서구	사망자수	11	-	1	-	7	3
2018	강서구	부상자수	2,208	195	186	179	1,562	86
2018	구로구	발생건수	1,532	208	164	126	971	63
2018	구로구	사망자수	13	-	1	2	10	-
2018	구로구	부상자수	2,129	320	225	186	1,322	76
2018	금천구	발생건수	932	129	119	74	574	36
2018	금천구	사망자수	6	-	1	-	5	-
2018	금천구	부상자수	1,326	194	168	92	833	39
2018	영등포구	발생건수	2,493	300	240	196	1,582	175
2018	영등포구	사망자수	22	1	-	-	19	2
2018	영등포구	부상자수	3,532	440	338	280	2,277	197
2018	동작구	발생건수	1,412	180	144	122	895	71
2018	동작구	사망자수	9	1	-	1	7	-
2018	동작구	부상자수	1,892	234	187	168	1,215	88
2018	관악구	발생건수	1,300	133	144	124	838	61
2018	관악구	사망자수	8	1	1	-	6	-
2018	관악구	부상자수	1,717	175	210	175	1,089	68
2018	서초구	발생건수	2,478	237	282	230	1,613	116
2018	서초구	사망자수	18	2	2	-	14	-
2018	서초구	부상자수	3,640	331	427	318	2,414	150
2018	강남구	발생건수	3,459	361	408	331	2,208	151
2018	강남구	사망자수	20	2	3	-	15	-
2018	강남구	부상자수	4,967	534	574	477	3,194	188
2018	송파구	발생건수	2,860	262	265	205	1,947	181
2018	송파구	사망자수	27	-	2	3	22	-
2018	송파구	부상자수	3,932	366	364	286	2,698	218
2018	강동구	발생건수	1,418	129	162	107	924	96
2018	강동구	사망자수	12	-	-	2	10	-
2018	강동구	부상자수	1,922	168	215	128	1,304	107
