기간	자치구별	구분	합계	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
2018	합계	발생건수	38,795	3,192	2,973	3,072	3,219	3,454	3,253	3,321	3,203	3,144	3,500	3,243	3,221
2018	합계	사망자수	304	30	28	28	24	22	21	29	27	20	21	30	24
2018	합계	부상자수	53,751	4,490	4,178	4,288	4,375	4,795	4,452	4,588	4,528	4,335	4,752	4,499	4,471
2018	종로구	발생건수	1,134	103	84	101	93	102	96	89	90	91	113	75	97
2018	종로구	사망자수	6	-	1	-	-	1	1	-	-	1	-	1	1
2018	종로구	부상자수	1,546	133	111	149	114	143	123	128	127	133	166	100	119
2018	중구	발생건수	1,128	104	95	106	84	105	103	80	85	77	102	93	94
2018	중구	사망자수	9	1	2	1	1	1	-	-	1	-	-	1	1
2018	중구	부상자수	1,506	143	116	141	130	134	129	116	117	93	128	131	128
2018	용산구	발생건수	1,330	100	104	102	123	134	105	114	118	102	125	100	103
2018	용산구	사망자수	14	3	1	-	-	2	3	1	1	1	1	-	1
2018	용산구	부상자수	1,852	140	149	160	162	182	142	145	169	137	185	132	149
2018	성동구	발생건수	1,143	81	91	99	88	112	92	103	91	94	113	104	75
2018	성동구	사망자수	9	3	-	2	-	-	1	1	-	1	-	1	-
2018	성동구	부상자수	1,561	110	122	144	113	166	124	135	129	121	157	134	106
2018	광진구	발생건수	1,108	90	84	73	100	101	109	95	101	82	92	111	70
2018	광진구	사망자수	10	1	-	1	-	-	-	3	1	-	-	1	3
2018	광진구	부상자수	1,474	119	111	101	126	134	140	130	136	107	135	148	87
2018	동대문구	발생건수	1,699	142	131	128	135	150	146	152	135	148	151	133	148
2018	동대문구	사망자수	14	-	1	3	2	-	1	-	-	2	2	2	1
2018	동대문구	부상자수	2,160	185	162	163	166	205	184	182	185	175	184	181	188
2018	중랑구	발생건수	1,565	125	125	116	121	151	130	144	112	124	154	139	124
2018	중랑구	사망자수	10	1	1	3	-	1	-	-	2	-	-	2	-
2018	중랑구	부상자수	2,135	183	169	140	159	213	180	188	153	183	227	182	158
2018	성북구	발생건수	1,427	147	116	117	109	139	108	107	105	117	131	104	127
2018	성북구	사망자수	14	-	2	1	1	-	2	-	2	1	3	-	2
2018	성북구	부상자수	1,980	194	168	160	178	210	152	142	161	152	162	128	173
2018	강북구	발생건수	1,216	102	103	96	99	125	93	89	102	104	107	97	99
2018	강북구	사망자수	13	-	2	1	1	-	1	3	1	-	2	1	1
2018	강북구	부상자수	1,633	160	139	135	136	158	118	133	136	129	128	123	138
2018	도봉구	발생건수	824	67	61	53	63	86	78	76	77	69	82	53	59
2018	도봉구	사망자수	6	-	1	-	-	1	1	1	-	-	2	-	-
2018	도봉구	부상자수	1,061	84	76	59	84	102	90	93	102	90	109	89	83
2018	노원구	발생건수	1,569	132	125	125	141	142	126	115	111	140	128	130	154
2018	노원구	사망자수	14	2	1	1	1	-	4	2	1	-	1	1	-
2018	노원구	부상자수	2,227	176	164	217	180	193	155	178	169	218	179	172	226
2018	은평구	발생건수	1,134	79	81	73	92	90	102	101	107	112	102	94	101
2018	은평구	사망자수	12	1	1	1	1	-	-	1	1	3	1	-	2
2018	은평구	부상자수	1,580	106	146	104	119	123	133	138	149	135	136	126	165
2018	서대문구	발생건수	1,033	71	79	83	101	87	83	86	81	86	102	82	92
2018	서대문구	사망자수	5	-	1	-	2	2	-	-	-	-	-	-	-
2018	서대문구	부상자수	1,403	106	110	101	137	120	106	114	109	118	141	123	118
2018	마포구	발생건수	1,671	153	137	127	129	144	141	140	124	153	148	148	127
2018	마포구	사망자수	11	-	1	1	1	3	-	-	2	-	2	1	-
