집계년도,시군명,발생건수(건),사망자수(명),부상자수(명)
2018,가평군,380,11,682
2018,고양시,3950,38,5889
2018,과천시,239,1,385
2018,광명시,1076,12,1520
2018,광주시,1691,19,2622
2018,구리시,668,11,966
2018,군포시,659,7,954
2018,김포시,1682,24,2664
2018,남양주시,2431,41,3903
2018,동두천시,406,11,576
2018,부천시,3236,22,4550
2018,성남시,3834,37,5635
2018,수원시,4997,39,7148
2018,시흥시,2434,29,3652
2018,안산시,3878,42,5909
2018,안성시,1026,19,1740
2018,안양시,1618,14,2356
2018,양주시,1094,19,1629
2018,양평군,532,15,826
2018,여주시,513,14,814
2018,연천군,189,6,313
2018,오산시,962,10,1409
2018,용인시,3205,37,5116
2018,의왕시,444,5,726
2018,의정부시,1682,19,2401
2018,이천시,1016,19,1626
2018,파주시,1693,22,2585
2018,평택시,3388,51,5465
2018,포천시,832,16,1413
2018,하남시,977,9,1443
2018,화성시,2716,59,4257
2017,가평군,432,15,763
2017,고양시,3593,40,5501
2017,과천시,227,3,418
2017,광명시,955,6,1427
2017,광주시,1394,22,2173
2017,구리시,585,8,864
2017,군포시,698,14,1026
2017,김포시,1515,26,2312
2017,남양주시,2303,36,3554
2017,동두천시,382,10,559
2017,부천시,3037,33,4255
2017,성남시,3742,32,5764
2017,수원시,4842,45,6962
2017,시흥시,2205,29,3408
2017,안산시,3733,41,5599
2017,안성시,997,27,1751
2017,안양시,1693,19,2342
2017,양주시,1038,15,1534
2017,양평군,539,20,839
2017,여주시,544,15,933
2017,연천군,218,7,381
2017,오산시,866,13,1338
2017,용인시,3032,46,5026
2017,의왕시,470,5,721
2017,의정부시,1477,24,2109
2017,이천시,1028,33,1590
2017,파주시,1690,36,2536
2017,평택시,3001,61,4828
2017,포천시,893,29,1531
2017,하남시,766,14,1156
2017,화성시,2732,60,4351
2015,가평군,395,17,747
2015,고양시,3929,64,5779
2015,과천시,247,2,416
2015,광명시,1195,13,1742
2015,광주시,1244,23,1892
2015,구리시,681,10,1023
2015,군포시,822,11,1309
2015,김포시,1621,31,2602
2015,남양주시,2124,38,3320
2015,동두천시,494,10,754
2015,부천시,3362,38,4723
2015,성남시,3729,40,5665
2015,수원시,5233,39,7710
2015,시흥시,2294,26,3582
2015,안산시,3920,55,5865
2015,안성시,1050,33,1892
2015,안양시,2132,23,3124
2015,양주시,1062,26,1676
2015,양평군,543,26,851
2015,여주시,672,8,1124
2015,연천군,264,12,414
2015,오산시,838,7,1262
2015,용인시,3132,55,5240
2015,의왕시,639,6,1025
2015,의정부시,1702,22,2497
2015,이천시,897,28,1466
2015,파주시,1763,45,2689
2015,평택시,2641,60,4351
2015,포천시,988,32,1666
2015,하남시,840,21,1280
2015,화성시,2501,59,4077
2014,가평군,377,19,678
2014,고양시,3875,57,5817
2014,과천시,217,2,370
2014,광명시,936,10,1365
2014,광주시,1189,33,1743
2014,구리시,699,9,1062
2014,군포시,748,7,1142
2014,김포시,1469,24,2168
2014,남양주시,2036,38,3162
2014,동두천시,465,10,697
2014,부천시,3080,30,4301
2014,성남시,3577,50,5331
2014,수원시,4764,71,6958
2014,시흥시,1936,40,3125
2014,안산시,3381,42,5238
2014,안성시,999,29,1782
2014,안양시,1990,29,2807
2014,양주시,1070,27,1679
2014,양평군,366,22,597
2014,여주시,557,25,829
2014,연천군,205,9,312
2014,오산시,776,13,1294
2014,용인시,2734,45,4421
2014,의왕시,523,12,773
2014,의정부시,1545,14,2229
2014,이천시,881,31,1457
2014,파주시,1638,27,2490
2014,평택시,2244,68,3649
2014,포천시,894,34,1621
2014,하남시,719,8,1146
2014,화성시,2222,75,3601
2013,가평군,363,17,635
2013,고양시,3532,62,5237
2013,과천시,205,4,373
2013,광명시,776,9,1158
2013,광주시,1093,30,1765
2013,구리시,683,10,1089
2013,군포시,710,10,1020
2013,김포시,1098,29,1607
2013,남양주시,1944,44,3188
2013,동두천시,447,14,692
2013,부천시,3000,29,4424
2013,성남시,2981,52,4534
2013,수원시,4513,44,6876
2013,시흥시,1966,52,3091
2013,안산시,2716,43,4172
2013,안성시,940,34,1688
2013,안양시,2060,29,3045
2013,양주시,969,25,1513
2013,양평군,397,23,635
2013,여주시,509,35,861
2013,연천군,175,10,261
2013,오산시,720,5,1139
2013,용인시,2426,63,3862
2013,의왕시,430,7,720
2013,의정부시,1477,24,2292
2013,이천시,873,35,1497
2013,파주시,1532,33,2423
2013,평택시,1977,68,3063
2013,포천시,892,37,1473
2013,하남시,573,6,923
2013,화성시,1923,63,3174

