시군명,시군구명,승용(관용),승용(자가용),승용(영업용),승용(관용+자가용+영업용),승합(관용),승합(자가용),승합(영업용),승합(관용+자가용+영업용),화물(관용),화물(자가용),화물(영업용),화물(관용+자가용+영업용),특수(관용),특수(자가용),특수(영업용),특수(관용+자가용+영업용),관용 자동차(승용+승합+화물+특수) 등록대수,자가용 자동차(승용+승합+화물+특수) 등록대수,영업용 자동차(승용+승합+화물+특수) 등록대수,총계
가평군,가평군,132,22020,203,22355,84,1397,250,1731,144,6279,159,6582,9,71,45,125,369,29767,657,30793
고양시,고양시 일산서구,67,99718,2147,101932,37,2807,569,3413,34,9487,1201,10722,1,97,103,201,139,112109,4020,116268
고양시,고양시 일산동구,97,102332,3743,106172,92,3217,881,4190,85,12683,1848,14616,11,117,175,303,285,118349,6647,125281
고양시,고양시 덕양구,280,139234,1165,140679,195,5199,406,5800,211,18907,2081,21199,18,147,197,362,704,163487,3849,168040
과천시,과천시,470,18170,327,18967,110,627,20,757,114,1764,239,2117,21,17,11,49,715,20578,597,21890
광명시,광명시,112,88015,1719,89846,82,3579,506,4167,109,11707,1787,13603,10,78,147,235,313,103379,4159,107851
광주시,광주시,151,143899,836,144886,73,6070,2949,9092,129,28870,4043,33042,12,235,308,555,365,179074,8136,187575
구리시,구리시,73,58547,1112,59732,67,2205,290,2562,90,9144,1075,10309,11,79,131,221,241,69975,2608,72824
군포시,군포시,120,83094,769,83983,66,2882,177,3125,98,9364,3769,13231,7,81,368,456,291,95421,5083,100795
김포시,김포시,193,164473,1675,166341,101,6165,1635,7901,173,27457,3106,30736,5,206,755,966,472,198301,7171,205944
남양주시,남양주시,294,225726,1760,227780,156,9542,973,10671,209,40937,4478,45624,12,334,395,741,671,276539,7606,284816
동두천시,동두천시,74,29466,700,30240,40,1610,86,1736,89,5532,483,6104,10,59,38,107,213,36667,1307,38187
부천시,부천시 오정구,0,34,0,34,0,12,2,14,0,51,1,52,0,0,0,0,0,97,3,100
부천시,부천시 소사구,0,16,0,16,0,12,8,20,0,32,1,33,0,0,1,1,0,60,10,70
부천시,부천시,275,245033,6100,251408,209,10836,1257,12302,222,36676,4915,41813,21,241,522,784,727,292786,12794,306307
부천시,부천시 원미구,1,38,0,39,0,22,0,22,0,78,0,78,0,0,0,0,1,138,0,139
성남시,성남시 분당구,155,171081,3599,174835,68,3323,1399,4790,111,8501,1906,10518,13,103,163,279,347,183008,7067,190422
성남시,성남시 중원구,181,58083,2298,60562,54,3050,244,3348,85,9888,1539,11512,3,71,150,224,323,71092,4231,75646
성남시,성남시 수정구,169,59857,965,60991,73,2670,170,2913,88,8215,1074,9377,15,50,140,205,345,70792,2349,73486
수원시,수원시 장안구,192,89910,1193,91295,256,3641,668,4565,124,9341,1870,11335,20,72,108,200,592,102964,3839,107395
수원시,수원시 권선구,115,148411,3568,152094,99,5937,1546,7582,136,18801,2452,21389,11,178,391,580,361,173327,7957,181645
수원시,수원시 팔달구,262,58367,1218,59847,83,2923,175,3181,121,6952,1490,8563,20,98,106,224,486,68340,2989,71815
수원시,수원시 영통구,95,129735,1644,131474,58,2930,112,3100,60,7317,1330,8707,1,101,137,239,214,140083,3223,143520
시흥시,시흥시,180,178196,1827,180203,110,7548,378,8036,155,34561,4998,39714,14,248,431,693,459,220553,7634,228646
안산시,안산시 상록구,79,111923,1574,113576,44,5216,647,5907,53,18764,2274,21091,2,174,305,481,178,136077,4800,141055
안산시,안산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
안산시,안산시 단원구,168,119698,2987,122853,164,6332,1373,7869,216,22223,3404,25843,12,153,317,482,560,148406,8081,157047
안성시,안성시,147,75117,733,75997,85,3605,461,4151,142,17788,3582,21512,11,142,249,402,385,96652,5025,102062
안양시,안양시 만안구,84,70741,1384,72209,31,3127,904,4062,37,9947,1547,11531,0,57,125,182,152,83872,3960,87984
안양시,안양시 동안구,135,103117,2341,105593,120,3070,726,3916,130,9807,3104,13041,12,104,153,269,397,116098,6324,122819
양주시,양주시,147,77783,716,78646,77,4124,550,4751,144,16771,1718,18633,7,180,128,315,375,98858,3112,102345
양평군,양평군,224,43915,284,44423,101,2006,709,2816,217,11193,680,12090,10,91,89,190,552,57205,1762,59519
여주군,여주군,0,7,0,7,0,0,0,0,0,13,0,13,0,0,0,0,0,20,0,20
여주시,여주시,149,44422,496,45067,73,2288,712,3073,193,13388,5631,19212,9,146,455,610,424,60244,7294,67962
연천군,연천군,75,15953,183,16211,70,944,116,1130,144,6191,4533,10868,6,90,492,588,295,23178,5324,28797
