,순위,종목코드,href,현재가,매출액[2019],매출액[2019.12],매출액[2020.03],영업이익[2019],영업이익[2019.12],영업이익[2020.03],당기순이익[2019],당기순이익[2019.12],당기순이익[2020.03],자산총계[2019],자산총계[2019.12],자산총계[2020.03],부채총계[2019],부채총계[2019.12],부채총계[2020.03],자본총계[2019],자본총계[2019.12],자본총계[2020.03],영업이익률[2019],영업이익률[2019.12],영업이익률[2020.03],순이익률[2019],순이익률[2019.12],순이익률[2020.03],ROE(%)[2019],ROE(%)[2019.12],ROE(%)[2020.03],ROA(%)[2019],ROA(%)[2019.12],ROA(%)[2020.03],부채비율[2019],부채비율[2019.12],부채비율[2020.03],EPS(원)[2019],EPS(원)[2019.12],EPS(원)[2020.03],PER(배)[2019],PER(배)[2019.12],PER(배)[2020.03],BPS(원)[2019],BPS(원)[2019.12],BPS(원)[2020.03],PBR(배)[2019],PBR(배)[2019.12],PBR(배)[2020.03],현금배당수익률[2019],현금배당수익률[2019.12],현금배당수익률[2020.03],현금배당성향(%)[2019],현금배당성향(%)[2019.12],현금배당성향(%)[2020.03]
삼성전자,1,005930,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005930,"55,500","2,304,009","598,848","553,252","277,685","71,603","64,473","217,389","52,270","48,849","3,525,645","3,525,645","3,574,575","896,841","896,841","910,698","2,628,804","2,628,804","2,663,877",12.05,11.96,11.65,9.44,8.73,8.83,8.69,8.69,8.45,6.28,6.28,6.14,34.12,34.12,34.19,"3,166",770,720,17.63,17.63,15.24,"37,528","37,528","38,053",1.49,1.49,1.25,2.54,,,44.73,46.01,49.18
SK하이닉스,2,000660,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=000660,"89,800","269,907","69,271","71,989","27,127","2,360","8,003","20,164","-1,182","6,490","647,895","647,895","671,428","168,463","168,463","188,951","479,432","479,432","482,477",10.05,3.41,11.12,7.47,-1.71,9.02,4.25,4.25,3.27,3.14,3.14,2.36,35.14,35.14,39.16,"2,766",-162,890,34.03,34.03,38.91,"70,071","70,071","70,513",1.34,1.34,1.18,1.06,,,33.97,-578.71,
삼성바이오로직스,3,207940,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=207940,"676,000","7,016","3,133","2,072",917,"1,070",626,"2,029","2,106",367,"59,116","59,116","59,450","15,572","15,572","15,534","43,545","43,545","43,916",13.08,34.14,30.20,28.92,67.22,17.69,4.77,4.77,,3.41,3.41,,35.76,35.76,35.37,"3,067","3,183",554,141.20,141.20,,"65,812","65,812","66,373",6.58,6.58,7.26,,,,0.00,0.00,
NAVER,4,035420,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035420,"237,500","65,934","17,874","17,321","7,101","1,734","2,215","3,968","1,962","1,349","122,995","122,995","137,660","57,956","57,956","63,108","65,039","65,039","74,552",10.77,9.70,12.79,6.02,10.98,7.79,10.56,10.56,10.71,3.58,3.58,3.60,89.11,89.11,84.65,"3,538","1,509","1,123",52.72,52.72,43.89,"39,913","39,913","45,682",4.67,4.67,3.72,0.20,,,9.38,21.99,
삼성전자우,5,005935,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005935,"55,500","2,304,009","598,848","553,252","277,685","71,603","64,473","217,389","52,270","48,849","3,525,645","3,525,645","3,574,575","896,841","896,841","910,698","2,628,804","2,628,804","2,663,877",12.05,11.96,11.65,9.44,8.73,8.83,8.69,8.69,8.45,6.28,6.28,6.14,34.12,34.12,34.19,"3,166",770,720,17.63,17.63,15.24,"37,528","37,528","38,053",1.49,1.49,1.25,2.54,,,44.73,46.01,49.18
셀트리온,6,068270,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=068270,"263,500","11,285","3,827","3,728","3,781","1,142","1,202","2,980",951,"1,053","38,937","38,937","41,240","9,867","9,867","11,194","29,070","29,070","30,046",33.50,29.84,32.25,26.41,24.84,28.24,11.19,11.19,12.47,8.02,8.02,8.92,33.94,33.94,37.26,"2,211",705,779,81.86,81.86,91.09,"20,920","20,920","21,666",8.65,8.65,10.57,0.00,,,0.00,0.00,0.00
LG화학,7,051910,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=051910,"432,500","286,250","74,612","71,157","8,956",-275,"2,365","3,761",-568,363,"340,244","340,244","371,211","166,406","166,406","197,050","173,838","173,838","174,161",3.13,-0.37,3.32,1.31,-0.76,0.51,1.84,1.84,0.83,1.20,1.20,0.59,95.73,95.73,113.14,"4,003",-993,269,79.31,79.31,170.60,"221,961","221,961","221,970",1.43,1.43,1.37,0.63,,,49.02,-197.53,
삼성SDI,8,006400,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006400,"383,500","100,974","28,209","23,975","4,622",201,540,"4,024",-331,7,"198,521","198,521","198,869","71,918","71,918","74,226","126,603","126,603","124,643",4.58,0.71,2.25,3.98,-1.17,0.03,2.94,2.94,2.46,2.05,2.05,1.75,56.81,56.81,59.55,"5,066",-718,-136,46.59,46.59,57.04,"184,305","184,305","181,084",1.28,1.28,1.33,0.42,,,18.78,-132.46,
현대차,9,005380,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005380,"112,000","1,057,464","278,241","253,194","36,055","11,644","8,638","31,856","7,721","5,527","1,945,122","1,945,122","1,988,508","1,181,465","1,181,465","1,229,242","763,658","763,658","759,266",3.41,4.18,3.41,3.01,2.77,2.18,4.32,4.32,3.80,1.70,1.70,1.46,154.71,154.71,161.90,"10,761","2,905","1,673",11.20,11.20,9.40,"267,549","267,549","266,807",0.45,0.45,0.33,3.32,,,35.35,98.27,
카카오,10,035720,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035720,"254,500","30,701","8,476","8,684","2,068",796,882,"-3,419","-4,419",799,"87,373","87,373","94,958","29,971","29,971","34,480","57,401","57,401","60,478",6.73,9.39,10.16,-11.14,-52.14,9.20,-5.81,-5.81,-4.73,-4.10,-4.10,-3.18,52.21,52.21,57.01,"-3,585","-4,959",894,N/A,N/A,N/A,"63,732","63,732","65,538",2.41,2.41,2.37,0.08,,,-3.46,-2.46,
